claim_id,kind,source_document,source_passage_sha256,claim,artifact,artifact_sha256,selector,rendering,context,evidence_status,supporting_artifacts,test,revision_test,correction_test,current_test,prior_claim_id
source_claim_0001,source_claim,README.md,538ff2a7efac32d3ec1446a722833cb7f1c73bd673c13dc00e9fc910a7a00d7a,"fuera de muestra walk-forward, partición fijada 2026-09-07.",docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 0 (zero based); aggregate evidence, specification or saved report. Alcance: walk-forward corresponde al entrenamiento; el diseño se fijó con la muestra histórica ya observada. La mejora general se refiere a la primaria de desarrollo bajo la regla de cada versión y no acredita confirmación prospectiva ni control global de la búsqueda.",stored_design_or_result,"{""docs/rp4/DEFENSE_PACKAGE/revision_2/correction_2/examiner_evidence.json"": ""5bd7d7a6e85899d0542a4797671b14c534099e8806506b4fff06dd3da46143a4""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0001
source_claim_0002,source_claim,README.md,f3ec929d6e76b4f0e476390d716623e9063a6ae968df5ca5aff9818c4fd9f07e,![Tier 1 CI](../../actions/workflows/ci.yml),README.md,f5f4ca20883d44cbece6e3293aa17868881812a0b6d976c7f51c42f53422ac6e,[],literal,"Source passage 1 (zero based); aggregate evidence, specification or saved report.",navigation_only,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0002
source_claim_0003,source_claim,README.md,27c7e35eeb3e2cd715ce9b11121c0fa0fa3e823a96caf7834a0918be5b30677e,El estado y la superficie de opciones mejoran el pronóstico medio de RV30 y RV15 en ambas familias bajo las pruebas de v3/v4.,artifacts/rp4_v4_b4/primary_statistics.csv,5c215fc38344839ecedea7b27f69efcb85fbefea84f1367d06229cb7407902d4,[],literal,"Source passage 2 (zero based); aggregate evidence, specification or saved report. Alcance: walk-forward corresponde al entrenamiento; el diseño se fijó con la muestra histórica ya observada. La mejora general se refiere a la primaria de desarrollo bajo la regla de cada versión y no acredita confirmación prospectiva ni control global de la búsqueda.",stored_design_or_result,"{""docs/rp4/DEFENSE_PACKAGE/revision_2/correction_2/examiner_evidence.json"": ""5bd7d7a6e85899d0542a4797671b14c534099e8806506b4fff06dd3da46143a4""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0003
source_claim_0004,source_claim,README.md,1addff129d63753f7aa8a5576f94223ab6255a8a9d9b0ed90b871fc33c4e9187,"El flujo añade una mejora pequeña en la familia lineal a **15 minutos (+0,623 % de reducción de QLIKE)**, con **IC95 % positivo** de la diferencia QLIKE [0,000335; 0,001932], y a **5 minutos (+0,256 %, secundario)**; en árboles no supera la prueba de la media.",artifacts/rp4_v4_b4/primary_statistics.csv,5c215fc38344839ecedea7b27f69efcb85fbefea84f1367d06229cb7407902d4,[],literal,"Source passage 3 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0004
source_claim_0005,source_claim,README.md,fec2b257ec525f042a8623432fd5d208f7f9629cdc41a4b8d64929282dcc269e,No es una ventaja universal ni evidencia de rentabilidad.,docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 4 (zero based); aggregate evidence, specification or saved report.",scope_or_limitation,"{""artifacts/rp4_v4_b4/primary_statistics.csv"": ""5c215fc38344839ecedea7b27f69efcb85fbefea84f1367d06229cb7407902d4""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0005
source_claim_0006,source_claim,README.md,0ac124f222bb41a0922dca49d6633a63395f3748a5fa731ed197c10f84e559f3,"Seis activos: AAPL, AMZN, META, MSFT, NVDA y TSLA.",artifacts/rp4_v4_a1/specification.json,0a45b0a608110e2ca0dcf38accc2a0c2521ebbe9d223eb002e36ec51f78afd04,[],literal,"Source passage 5 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0006
source_claim_0007,source_claim,README.md,fc5ad36d32103191649ecd555d5b83f25279f9a16016b6e8f79f1f63dfbdf7a2,B0 contiene historia de precios y volatilidad; B1 añade superficie de opciones; B2 añade composición y actividad del flujo.,artifacts/rp4_v4_a1/specification.json,0a45b0a608110e2ca0dcf38accc2a0c2521ebbe9d223eb002e36ec51f78afd04,[],literal,"Source passage 6 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0007
source_claim_0008,source_claim,README.md,fd78ed6ac4389b14f28bc631720876ece9cc4f944c6465fd0d51f77ef0bf5642,Los conjuntos son anidados: 29/69/138 predictores en v3/v4.,artifacts/rp4_v4_a1/specification.json,0a45b0a608110e2ca0dcf38accc2a0c2521ebbe9d223eb002e36ec51f78afd04,[],literal,"Source passage 7 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0008
source_claim_0009,source_claim,README.md,a4d15e10cc8d0efb6e625b99209820b656e838f7fe67f012056159bc6dccb93f,La familia lineal es winsorizada con filtro de rango (ridge nominal); la otra es LightGBM.,docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 8 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,"{""artifacts/rp4_closeout_audit/REPORT.md"": ""93ba2ae3f561d1e88bc2706d5cede0fcd504c4c5790453cb2dc0a32f5c11c412""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0009
source_claim_0010,source_claim,README.md,07c34413c03247da28a4e3a77f6fe111b911f84c97999036c3ed1acf41061d9a,"QLIKE mide error de pronóstico, no beneficios de una estrategia.",docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 9 (zero based); aggregate evidence, specification or saved report.",scope_or_limitation,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0010
